色香味俱全,11452,TRUE,5
起司蛋糕,1216,TRUE,4
破酥包,147,TRUE,3
茯苓糕,237,TRUE,3
海棠果,626,TRUE,3
芙蓉糕,953,TRUE,3
粉蒸肉,4323,TRUE,3
金糕,828,TRUE,2
荷月,868,TRUE,2
燕皮,1001,TRUE,2
渠江,2796,TRUE,2
桃酥,3434,TRUE,2
花根,3843,TRUE,2
冰峰,13124,TRUE,2
面皮,45060,TRUE,2
皮蛋瘦肉粥,4539,FALSE,5
糯米丸子,346,FALSE,4
珍珠丸子,618,FALSE,4
油炸果,379,FALSE,3
西施舌,1037,FALSE,3
山楂糕,1584,FALSE,3
豆腐干,17156,FALSE,3
秦椒,457,FALSE,2
巧果,1599,FALSE,2
醉蟹,1817,FALSE,2
花糕,11741,FALSE,2
苦丁茶,9353,TRUE,3
烤全羊,12171,TRUE,3
大富豪,23198,TRUE,3
沙田柚,3510,FALSE,3
烤地瓜,4214,FALSE,3
花生仁,9838,FALSE,3
家庭版,11997,FALSE,3
狗不理,15159,FALSE,3
白粥,10809,FALSE,2
富春,31867,FALSE,2
刈包,188,FALSE,2
奶皮,4431,FALSE,2
秋菊傲霜,63,TRUE,4
健力,55428,TRUE,2
蛋奶酥,208,TRUE,3
牛皮糖,7431,FALSE,3
芽菜,13246,FALSE,2
仙人掌果,334,TRUE,4
甘露糖醇,148,TRUE,4
茼蒿,8201,FALSE,2
蜂糕,278,TRUE,2
辣椒仔,273,TRUE,3
核桃糕,402,TRUE,3
扒糕,510,TRUE,2
乳酒,710,TRUE,2
沙朗牛排,296,FALSE,4
炸土豆片,611,TRUE,4
人心果,582,TRUE,3
酸豆,2370,TRUE,2
黑松沙士,416,TRUE,4
米粉肉,591,TRUE,3
小扁豆,721,TRUE,3
巴旦杏,1183,TRUE,3
油旋,527,FALSE,2
炸丸子,815,TRUE,3
酸莓,1450,TRUE,2
法棍,931,TRUE,2
甜菊糖,1665,TRUE,3
黑啤酒,3499,TRUE,3
蝴蝶酥,239,TRUE,3
番荔枝,929,TRUE,3
花生糖,1474,FALSE,3
蒸糕,1941,TRUE,2
速溶茶,1765,TRUE,3
酸橙,2237,TRUE,2
文旦,1614,TRUE,2
黑森林蛋糕,1273,TRUE,5
家常豆腐,1327,TRUE,4
沙士,5368,TRUE,2
越桔,1431,TRUE,2
杏仁豆腐,1114,TRUE,4
桃金娘,1248,TRUE,3
水煎包,1519,TRUE,3
花雕酒,2588,TRUE,3
苦艾酒,1719,TRUE,3
高粱米,2883,FALSE,3
耳朵眼,4011,FALSE,3
枸杞茶,1556,TRUE,3
金酒,3833,TRUE,2
杏核,4092,TRUE,2
芋泥,3364,FALSE,2
蓼花,1237,TRUE,2
手抓羊肉,2908,TRUE,4
桃花面,1339,FALSE,3
糖醋里脊,1345,TRUE,4
擂茶,3019,FALSE,2
蚵仔煎,2902,FALSE,3
火井,1085,FALSE,2
老豆腐,2532,FALSE,3
肋排,2694,FALSE,2
姬松茸,1814,TRUE,3
咖喱粉,3590,FALSE,3
百香果,2218,TRUE,3
炒米粉,1817,TRUE,3
糯米糍,2132,TRUE,3
椰子汁,2907,TRUE,3
韭菜花,2822,TRUE,3
