词汇,清华词频,字数,搜狗重合,八股文重合,前两个AND
卷筒蛋糕,6,4,1,0,0
原笼牛肉,6,4,1,0,0
叉烧炒面,6,4,1,0,0
双黄鱼片,6,4,1,0,0
大蒜鲇鱼,6,4,1,0,0
奇味干锅,6,4,1,0,0
奶油桂鱼,6,4,1,0,0
宫灯鱼丝,6,4,1,0,0
山楂凉茶,6,4,1,0,0
彩带鱼头,6,4,1,0,0
拉糟鱼块,6,4,1,0,0
杨梅虾球,6,4,1,0,0
松树猴头,6,4,1,0,0
桂花楂糕,6,4,1,0,0
水晶扣肉,6,4,1,0,0
洞庭水岸,6,4,1,0,0
浓香鸡块,6,4,1,0,0
清炒鳝丝,6,4,1,0,0
炊麒麟鱼,6,4,1,0,0
炒豆腐松,6,4,1,0,0
炸珍珠虾,6,4,1,0,0
焦溜肥肠,6,4,1,0,0
煎连壳蟹,6,4,1,0,0
玻璃鲜墨,6,4,1,0,0
琅琊酥糖,6,4,1,0,0
甜酸海蜇,6,4,1,0,0
癸酸乙酯,6,4,1,0,0
百合牛肉,6,4,1,0,0
皮片乳猪,6,4,1,0,0
糖胶树胶,6,4,1,0,0
翡翠鸡翅,6,4,1,0,0
肥肠豆花,6,4,1,0,0
芒果果泥,6,4,1,0,0
芙蓉套蟹,6,4,1,0,0
荷包鱿鱼,6,4,1,0,0
葱油桃酥,6,4,1,0,0
蕃茄鸡煲,6,4,1,0,0
虫草鹌鹑,6,4,1,0,0
豆沙方糕,6,4,1,0,0
豆渣猪头,6,4,1,0,0
豆腐排骨,6,4,1,0,0
豆面酥糖,6,4,1,0,0
辣子鱼块,6,4,1,0,0
辣汁茄丝,6,4,1,0,0
酥炸鸭子,6,4,1,0,0
酸辣肘子,6,4,1,0,0
醪糟罐头,6,4,1,0,0
雪花鱼翅,6,4,1,0,0
黄精蒸鸡,6,4,1,0,0
丁香姜糖,7,4,1,0,0
东璧龙珠,7,4,1,0,0
云腿奶糖,7,4,1,0,0
五味白肉,7,4,1,0,0
仿膳饽饽,7,4,1,0,0
可可壳色,7,4,1,0,0
可得然胶,7,4,1,0,0
四喜鸭子,7,4,1,0,0
大蒜鲶鱼,7,4,1,0,0
干煎黄鱼,7,4,1,0,0
干煸鳝背,7,4,1,0,0
成都蛋汤,7,4,1,0,0
拿破伦酥,7,4,1,0,0
油爆肚尖,7,4,1,0,0
清炖兔子,7,4,1,0,0
炝黄瓜条,7,4,1,0,0
焦糖泡芙,7,4,1,0,0
爆炒鳝片,7,4,1,0,0
百花大虾,7,4,1,0,0
盘古神鹿,7,4,1,0,0
硅铝酸钙,7,4,1,0,0
福寿临门,7,4,1,0,0
糖醋面筋,7,4,1,0,0
红烧卷鸡,7,4,1,0,0
红豆膳粥,7,4,1,0,0
绿茶慕斯,7,4,1,0,0
羊杂汤锅,7,4,1,0,0
菠菜鸡煲,7,4,1,0,0
葱炖猪蹄,7,4,1,0,0
蒜香鲶鱼,7,4,1,0,0
蓝莓果泥,7,4,1,0,0
蓝莓罐头,7,4,1,0,0
蚝皇凤爪,7,4,1,0,0
豆浆挂面,7,4,1,0,0
豆芽咸菜,7,4,1,0,0
软烧豆腐,7,4,1,0,0
辽阳塔糖,7,4,1,0,0
郁滋客来,7,4,1,0,0
酥皮麻饼,7,4,1,0,0
醋溜藕片,7,4,1,0,0
野无花果,7,4,1,0,0
银杏芋泥,7,4,1,0,0
锅塌黄鱼,7,4,1,0,0
雪月羊肉,7,4,1,0,0
高力豆沙,7,4,1,0,0
鱼香苦瓜,7,4,1,0,0
鲜奶蘑菇,7,4,1,0,0
鲜果银耳,7,4,1,0,0
鲜柚子汁,7,4,1,0,0
三彩大虾,8,4,1,0,0
三鲜茄子,8,4,1,0,0
凤凰趴窝,8,4,1,0,0
卤汁豆干,8,4,1,0,0
围炉火锅,8,4,1,0,0
大山合牌,8,4,1,0,0
姜丝肉蟹,8,4,1,0,0
密汁南瓜,8,4,1,0,0
带鱼罐头,8,4,1,0,0
干锅鸡翅,8,4,1,0,0
拆冻鲫鱼,8,4,1,0,0
松峰绿茶,8,4,1,0,0
果仁排骨,8,4,1,0,0
梅花香芋,8,4,1,0,0
水晶橘子,8,4,1,0,0
水煮鲢鱼,8,4,1,0,0
洋芋檫檫,8,4,1,0,0
浮油鸡片,8,4,1,0,0
滑溜鹌鹑,8,4,1,0,0
炖人参汤,8,4,1,0,0
炸鸡肉串,8,4,1,0,0
烤扁担肉,8,4,1,0,0
玉兔白菜,8,4,1,0,0
白汁鳜鱼,8,4,1,0,0
祖庵鱼翅,8,4,1,0,0
糖醋鸡块,8,4,1,0,0
红烧猪肚,8,4,1,0,0
羊肉笼笼,8,4,1,0,0
肉丝粉皮,8,4,1,0,0
茄汁猪排,8,4,1,0,0
茶叶熏鸡,8,4,1,0,0
荷花鱼翅,8,4,1,0,0
葱油黄鱼,8,4,1,0,0
蚕蛹罐头,8,4,1,0,0
蚝油鸭掌,8,4,1,0,0
蛋卷饼干,8,4,1,0,0
蜜枣羊肉,8,4,1,0,0
都督烧麦,8,4,1,0,0
酥小鲫鱼,8,4,1,0,0
酱烧茭白,8,4,1,0,0
酱爆青蟹,8,4,1,0,0
醋椒桂鱼,8,4,1,0,0
金德啤酒,8,4,1,0,0
高密蜜枣,8,4,1,0,0
鸳鸯酥盒,8,4,1,0,0
龙井金鱼,8,4,1,0,0
龙须燕丸,8,4,1,0,0
三丝鱿鱼,9,4,1,0,0
三色蛋糕,9,4,1,0,0
云南回饼,9,4,1,0,0
五柳鱼丝,9,4,1,0,0
冰花雪莲,9,4,1,0,0
叉烧猪肉,9,4,1,0,0
哈特啤酒,9,4,1,0,0
宫廷排翅,9,4,1,0,0
木耳黄瓜,9,4,1,0,0
椒盐蹄膀,9,4,1,0,0
油焖竹笋,9,4,1,0,0
油焖鲜蘑,9,4,1,0,0
湘莲罐头,9,4,1,0,0
炒芙蓉蟹,9,4,1,0,0
玉竹猪心,9,4,1,0,0
珊瑚金钩,9,4,1,0,0
珍珠鲤鱼,9,4,1,0,0
白汁全鱼,9,4,1,0,0
白汁鲳鱼,9,4,1,0,0
白油肝片,9,4,1,0,0
粘花饼干,9,4,1,0,0
糖醋鱼条,9,4,1,0,0
素炒腐球,9,4,1,0,0
红松鳜鱼,9,4,1,0,0
红袍莲子,9,4,1,0,0
翡翠银耳,9,4,1,0,0
胡椒博士,9,4,1,0,0
芜爆里脊,9,4,1,0,0
芪烧活鱼,9,4,1,0,0
莲蓉酥饼,9,4,1,0,0
蓝莓慕丝,9,4,1,0,0
虫草鸭舌,9,4,1,0,0
蚝油蘑菇,9,4,1,0,0
蛤蜊鲫鱼,9,4,1,0,0
豆瓣肘子,9,4,1,0,0
辣豆瓣鱼,9,4,1,0,0
鄣公山茶,9,4,1,0,0
酸菜煮鱼,9,4,1,0,0
金丝海蟹,9,4,1,0,0
金钱香菇,9,4,1,0,0
降红木素,9,4,1,0,0
雪花鸡淖,9,4,1,0,0
飘仙一号,9,4,1,0,0
香炸云雾,9,4,1,0,0
香蕉软糖,9,4,1,0,0
龙凤鲜汤,9,4,1,0,0
什锦暖锅,10,4,1,0,0
凤尾腰花,10,4,1,0,0
千层肉饼,10,4,1,0,0
参蒸鳝段,10,4,1,0,0
回锅鱼片,10,4,1,0,0
天湖凤片,10,4,1,0,0
太白庄园,10,4,1,0,0
好丝百叶,10,4,1,0,0
安阳三熏,10,4,1,0,0
干烧鸡翅,10,4,1,0,0
干煸茭白,10,4,1,0,0
广式蜜饯,10,4,1,0,0
扣肉梅菜,10,4,1,0,0
文山鸡丁,10,4,1,0,0
无锡肉排,10,4,1,0,0
松子鱼米,10,4,1,0,0
桃仁鸭方,10,4,1,0,0
槭风蛋糕,10,4,1,0,0
沫若香茗,10,4,1,0,0
油泼青鱼,10,4,1,0,0
清汤鲍鱼,10,4,1,0,0
清炸鹌鹑,10,4,1,0,0
湖州肉粽,10,4,1,0,0
火腿土司,10,4,1,0,0
炒羊肚丝,10,4,1,0,0
番茄腰柳,10,4,1,0,0
碳烧啤酒,10,4,1,0,0
粉蒸鳜鱼,10,4,1,0,0
糖醋荷藕,10,4,1,0,0
肉末烧茄,10,4,1,0,0
肉酱茄子,10,4,1,0,0
腰果虾球,10,4,1,0,0
芙蓉大虾,10,4,1,0,0
芦笋鸡块,10,4,1,0,0
苏州话梅,10,4,1,0,0
茄汁鸡肉,10,4,1,0,0
茶食刀切,10,4,1,0,0
莲子鸡丁,10,4,1,0,0
菊花酥饼,10,4,1,0,0
营养藕粉,10,4,1,0,0
蟹黄海参,10,4,1,0,0
超山梅子,10,4,1,0,0
金针豆腐,10,4,1,0,0
锅塌蒲菜,10,4,1,0,0
雪绵豆沙,10,4,1,0,0
香菇醉鸡,10,4,1,0,0
三清碧兰,11,4,1,0,0
丰年果糖,11,4,1,0,0
云腿罐头,11,4,1,0,0
凤尾金鱼,11,4,1,0,0
古劳银针,11,4,1,0,0
姜汁仔鸡,11,4,1,0,0
橄榄炖鸡,11,4,1,0,0
油爆鲜贝,11,4,1,0,0
激情海岸,11,4,1,0,0
火爆双脆,11,4,1,0,0
炊石榴鸡,11,4,1,0,0
炸南瓜条,11,4,1,0,0
煎酿茄子,11,4,1,0,0
玉掌献寿,11,4,1,0,0
珊瑚桂鱼,11,4,1,0,0
石狮甜果,11,4,1,0,0
红杞蒸鸡,11,4,1,0,0
红烧全狗,11,4,1,0,0
绍子烘蛋,11,4,1,0,0
翡翠鱼珠,11,4,1,0,0
苹果炖鱼,11,4,1,0,0
茄汁鱼卷,11,4,1,0,0
荠菜鱼卷,11,4,1,0,0
藏心鱼圆,11,4,1,0,0
蜜制蜂糕,11,4,1,0,0
豆瓣海参,11,4,1,0,0
豇豆烧肉,11,4,1,0,0
香菇包子,11,4,1,0,0
鬼马牛肉,11,4,1,0,0
鸭丝掐菜,11,4,1,0,0
中华蜜酒,12,4,1,0,0
五丝洋粉,12,4,1,0,0
仙鹤鲍鱼,12,4,1,0,0
姜汁刀豆,12,4,1,0,0
宝鸡茶酥,12,4,1,0,0
家常炒面,12,4,1,0,0
小炒螃蟹,12,4,1,0,0
撒子麻花,12,4,1,0,0
果糖饮料,12,4,1,0,0
果胶酯酶,12,4,1,0,0
核桃松糕,12,4,1,0,0
水煮蹄花,12,4,1,0,0
沙式饼干,12,4,1,0,0
海东雪梨,12,4,1,0,0
熊猫品竹,12,4,1,0,0
熘鱼焙面,12,4,1,0,0
牛排罐头,12,4,1,0,0
甑山银毫,12,4,1,0,0
粉皮辣鱼,12,4,1,0,0
红烧下巴,12,4,1,0,0
红烧鹿筋,12,4,1,0,0
芝麻肉丝,12,4,1,0,0
草菇烧笋,12,4,1,0,0
荷包蟹肉,12,4,1,0,0
荷叶蒸鱼,12,4,1,0,0
蜜枣核桃,12,4,1,0,0
酱酥桃仁,12,4,1,0,0
酸辣鸡丁,12,4,1,0,0
金钱鱼肚,12,4,1,0,0
雪山蛋糕,12,4,1,0,0
雪花桃泥,12,4,1,0,0
青制啤酒,12,4,1,0,0
齐山毛尖,12,4,1,0,0
八宝油糕,13,4,1,0,0
十八烷酸,13,4,1,0,0
原笼粉蒸,13,4,1,0,0
奶汤鸡脯,13,4,1,0,0
姜汁鸭掌,13,4,1,0,0
徽州圆子,13,4,1,0,0
扒三样儿,13,4,1,0,0
扒鸡块儿,13,4,1,0,0
沙舟踏翠,13,4,1,0,0
火爆肚头,13,4,1,0,0
炸鹿尾儿,13,4,1,0,0
焦盖烧饼,13,4,1,0,0
煲仔鱼丸,13,4,1,0,0
玫瑰锅炸,13,4,1,0,0
腐皮肉卷,13,4,1,0,0
菠饺鱼肚,13,4,1,0,0
豆瓣鲜鱼,13,4,1,0,0
鸡沾口蘑,13,4,1,0,0
什锦丁儿,14,4,1,0,0
什锦烩饭,14,4,1,0,0
佛手海参,14,4,1,0,0
凤眼秋波,14,4,1,0,0
干煸冬笋,14,4,1,0,0
广安烘糕,14,4,1,0,0
普鲁兰酶,14,4,1,0,0
池塘莲花,14,4,1,0,0
清炖全鸡,14,4,1,0,0
滇味炒面,14,4,1,0,0
燕尾桃花,14,4,1,0,0
红豆土司,14,4,1,0,0
芪蒸鹌鹑,14,4,1,0,0
荷叶凤脯,14,4,1,0,0
银杏蒸鸭,14,4,1,0,0
鸭黄豆腐,14,4,1,0,0
麻辣肉片,14,4,1,0,0
冬菜肉末,15,4,1,0,0
凤炖牡丹,15,4,1,0,0
奶汤白菜,15,4,1,0,0
姜葱螃蟹,15,4,1,0,0
干烧大虾,15,4,1,0,0
梁平甜茶,15,4,1,0,0
梅花蛋糕,15,4,1,0,0
浏阳茴饼,15,4,1,0,0
糯米藕片,15,4,1,0,0
脂油年糕,15,4,1,0,0
花椒鱼片,15,4,1,0,0
蛋黄面包,15,4,1,0,0
龙眼虾仁,15,4,1,0,0
上海饼干,16,4,1,0,0
佛手排骨,16,4,1,0,0
凉拌鱿鱼,16,4,1,0,0
叉烤鳜鱼,16,4,1,0,0
宣城蜜枣,16,4,1,0,0
小芝麻饼,16,4,1,0,0
岐山面皮,16,4,1,0,0
巴山银芽,16,4,1,0,0
文昌按粑,16,4,1,0,0
杏仁橄榄,16,4,1,0,0
植物炭黑,16,4,1,0,0
氰钴胺素,16,4,1,0,0
爆炒肉片,16,4,1,0,0
牛奶土司,16,4,1,0,0
玉兔海参,16,4,1,0,0
红焖海参,16,4,1,0,0
腌牛脚筋,16,4,1,0,0
芥兰牛肉,16,4,1,0,0
芫爆肚丝,16,4,1,0,0
蛋黄麻花,16,4,1,0,0
西汁乳鸽,16,4,1,0,0
车前草茶,16,4,1,0,0
酥皮鸡饺,16,4,1,0,0
酸菜鱿鱼,16,4,1,0,0
金钱鸡塔,16,4,1,0,0
麦芬蛋糕,16,4,1,0,0
龙凤柔情,16,4,1,0,0
东坡方肉,17,4,1,0,0
响铃海参,17,4,1,0,0
女贞子酒,17,4,1,0,0
庞德咖啡,17,4,1,0,0
挂霜丸子,17,4,1,0,0
武穴酥糖,17,4,1,0,0
氽三样儿,17,4,1,0,0
汤圆锅子,17,4,1,0,0
洋河敦煌,17,4,1,0,0
洱海弓鱼,17,4,1,0,0
爆墨鱼卷,17,4,1,0,0
白汁鱼肚,17,4,1,0,0
白鲞扣鸡,17,4,1,0,0
红豆蛋挞,17,4,1,0,0
自制汽水,17,4,1,0,0
芦笋牛肉,17,4,1,0,0
菊花鱼丸,17,4,1,0,0
萍乡花果,17,4,1,0,0
赣州麻通,17,4,1,0,0
软炸鲜贝,17,4,1,0,0
野鸭菜饭,17,4,1,0,0
鱼香腰花,17,4,1,0,0
鼓汁排骨,17,4,1,0,0
云片鸽蛋,18,4,1,0,0
南湖蟹粉,18,4,1,0,0
口蘑蒸鸡,18,4,1,0,0
大茴香醛,18,4,1,0,0
富贵有鱼,18,4,1,0,0
森林木盒,18,4,1,0,0
泰德马帝,18,4,1,0,0
清汤冬瓜,18,4,1,0,0
清蒸白鳝,18,4,1,0,0
潇湘猪手,18,4,1,0,0
玫瑰茄红,18,4,1,0,0
珍珠雪耳,18,4,1,0,0
红烧鱼唇,18,4,1,0,0
红豆芝士,18,4,1,0,0
西式月饼,18,4,1,0,0
豆沙凉糕,18,4,1,0,0
辣子脆肠,18,4,1,0,0
醪糟麻花,18,4,1,0,0
鸡丝汤面,18,4,1,0,0
鸡丝豆苗,18,4,1,0,0
麻辣野鸡,18,4,1,0,0
什锦锅子,19,4,1,0,0
复盆子酮,19,4,1,0,0
姜爆鸭丝,19,4,1,0,0
家乡南肉,19,4,1,0,0
尖椒炒蛋,19,4,1,0,0
抓炒大虾,19,4,1,0,0
无核糖枣,19,4,1,0,0
杂烩锅子,19,4,1,0,0
桃仁鸡丁,19,4,1,0,0
油闷春笋,19,4,1,0,0
海螺罐头,19,4,1,0,0
海鲜大烩,19,4,1,0,0
漆油炖鸡,19,4,1,0,0
炒榛子酱,19,4,1,0,0
煲猪肉汤,19,4,1,0,0
红烧鱼骨,19,4,1,0,0
菠萝鸡丁,19,4,1,0,0
萧山杨梅,19,4,1,0,0
葫芦巴胶,19,4,1,0,0
酥炸排骨,19,4,1,0,0
里叶白莲,19,4,1,0,0
阿胶炖肉,19,4,1,0,0
香露苹果,19,4,1,0,0
高粱饴糖,19,4,1,0,0
三丁大包,20,4,1,0,0
上海蜜饯,20,4,1,0,0
五味煎蟹,20,4,1,0,0
偏酒石酸,20,4,1,0,0
八生火锅,20,4,1,0,0
兰花春笋,20,4,1,0,0
双桥毛尖,20,4,1,0,0
炒豌豆酱,20,4,1,0,0
生汆丸子,20,4,1,0,0
白银如意,20,4,1,0,0
糖花蛋糕,20,4,1,0,0
红枣煨肘,20,4,1,0,0
肉丁辣酱,20,4,1,0,0
苦瓜酿肉,20,4,1,0,0
葱爆肉丝,20,4,1,0,0
金丝烧麦,20,4,1,0,0
锅巴三鲜,20,4,1,0,0
锅贴鱼片,20,4,1,0,0
长武锅盔,20,4,1,0,0
鱼脯丸子,20,4,1,0,0
鱼香炒蛋,20,4,1,0,0
鸡茸银耳,20,4,1,0,0
鸳鸯鱼枣,20,4,1,0,0
龙王夜宴,20,4,1,0,0
丁酸丁酯,21,4,1,0,0
冬瓜煲汤,21,4,1,0,0
参麦团鱼,21,4,1,0,0
咕咕霍夫,21,4,1,0,0
坚果蛋糕,21,4,1,0,0
成都子鸡,21,4,1,0,0
汉中米皮,21,4,1,0,0
涟水鸡糕,21,4,1,0,0
清汤银耳,21,4,1,0,0
爆炒羊肚,21,4,1,0,0
白扒鲍鱼,21,4,1,0,0
白菜锅子,21,4,1,0,0
白醋鸡蛋,21,4,1,0,0
硅铝酸钠,21,4,1,0,0
荔枝鱿鱼,21,4,1,0,0
菊花冬笋,21,4,1,0,0
薄饼羊肉,21,4,1,0,0
蜜蜡肘子,21,4,1,0,0
酸汤米线,21,4,1,0,0
风味羊腿,21,4,1,0,0
鸳鸯鸡粥,21,4,1,0,0
侗乡腌鱼,22,4,1,0,0
厦门薄饼,22,4,1,0,0
发财好事,22,4,1,0,0
四鲜烤麸,22,4,1,0,0
大枣姜汤,22,4,1,0,0
山楂肉干,22,4,1,0,0
庚酸乙酯,22,4,1,0,0
燕窝四字,22,4,1,0,0
糖醋鱼卷,22,4,1,0,0
蓝莓奶酪,22,4,1,0,0
蜂巢蛋糕,22,4,1,0,0
井岗翠绿,23,4,1,0,0
奶油蟹肉,23,4,1,0,0
桂花鱼条,23,4,1,0,0
浓缩果酱,23,4,1,0,0
清炒蚕豆,23,4,1,0,0
炒桂花翅,23,4,1,0,0
红油耳片,23,4,1,0,0
花生衣红,23,4,1,0,0
酱豆腐肉,23,4,1,0,0
醋熘鳜鱼,23,4,1,0,0
香辣炒蟹,23,4,1,0,0
鸡丝米粉,23,4,1,0,0
东方海川,24,4,1,0,0
凯撒沙律,24,4,1,0,0
咖喱牛排,24,4,1,0,0
奶泡咖啡,24,4,1,0,0
岐山锅盔,24,4,1,0,0
棒棒鸡丝,24,4,1,0,0
樽皇酒具,24,4,1,0,0
灵芝饮料,24,4,1,0,0
玻璃鱿鱼,24,4,1,0,0
禹城扒鸡,24,4,1,0,0
茉莉浸膏,24,4,1,0,0
蚝油鲜菇,24,4,1,0,0
兰花豆干,25,4,1,0,0
火山鸣泉,25,4,1,0,0
炒肉片儿,25,4,1,0,0
烩鸭腰儿,25,4,1,0,0
豆鼓鲇鱼,25,4,1,0,0
路南乳饼,25,4,1,0,0
酥皮龙虾,25,4,1,0,0
锅塌菠菜,25,4,1,0,0
鸡包鱼翅,25,4,1,0,0
麻辣狗肉,25,4,1,0,0
东壁龙珠,26,4,1,0,0
全羊汤锅,26,4,1,0,0
冬菜扣肉,26,4,1,0,0
圣诞面包,26,4,1,0,0
塞外酒堡,26,4,1,0,0
宣威土豆,26,4,1,0,0
库克洛夫,26,4,1,0,0
桂林酥糖,26,4,1,0,0
煎封鲳鱼,26,4,1,0,0
爆三样儿,26,4,1,0,0
爆墨鱼花,26,4,1,0,0
琉璃珠玑,26,4,1,0,0
甜椒肉丝,26,4,1,0,0
自制果冻,26,4,1,0,0
菠萝圆片,26,4,1,0,0
蜜桔罐头,26,4,1,0,0
一品鲍鱼,27,4,1,0,0
三鲜砂锅,27,4,1,0,0
南昌炒粉,27,4,1,0,0
发丝百叶,27,4,1,0,0
百子寿桃,27,4,1,0,0
绣球鱼翅,27,4,1,0,0
蟹黄虾盅,27,4,1,0,0
五指山茶,28,4,1,0,0
加州庄园,28,4,1,0,0
小孩酥糖,28,4,1,0,0
桂花元宵,28,4,1,0,0
水晶南瓜,28,4,1,0,0
火腿白菜,28,4,1,0,0
炒豆腐脑,28,4,1,0,0
白扒鱼翅,28,4,1,0,0
菊花里脊,28,4,1,0,0
酸辣狗肉,28,4,1,0,0
醋溜黄瓜,28,4,1,0,0
麻酱菠菜,28,4,1,0,0
八宝甲鱼,29,4,1,0,0
宫保虾球,29,4,1,0,0
屯溪醉蟹,29,4,1,0,0
洗沙白酥,29,4,1,0,0
硬脂酸钾,29,4,1,0,0
磷酸三钾,29,4,1,0,0
肉米鱼唇,29,4,1,0,0
草莓果泥,29,4,1,0,0
鹰扬虎视,29,4,1,0,0
黄焖鸡块,29,4,1,0,0
原笼玉簪,30,4,1,0,0
咖啡欧蕾,30,4,1,0,0
扒牛肉条,30,4,1,0,0
荆沙鱼糕,30,4,1,0,0
麒麟石斑,30,4,1,0,0
八宝菠菜,31,4,1,0,0
果汁鱼块,31,4,1,0,0
鲜蘑豆腐,31,4,1,0,0
凤凰鱼翅,32,4,1,0,0
牛肚火锅,32,4,1,0,0
蚕豆罐头,32,4,1,0,0
装饰饼干,32,4,1,0,0
辛酸乙酯,32,4,1,0,0
金钱海参,32,4,1,0,0
乾县锅盔,33,4,1,0,0
六安篮茶,33,4,1,0,0
凉拌豇豆,33,4,1,0,0
梁渡银针,33,4,1,0,0
梧州蜜枣,33,4,1,0,0
椰蓉面包,33,4,1,0,0
糟烩鞭笋,33,4,1,0,0
糯米凉糕,33,4,1,0,0
蒸羊羔儿,33,4,1,0,0
辣子肥肠,33,4,1,0,0
一品熊掌,34,4,1,0,0
佛手金卷,34,4,1,0,0
内江蜜饯,34,4,1,0,0
凤尾虾排,34,4,1,0,0
反沙芋头,34,4,1,0,0
干烧辽参,34,4,1,0,0
江华毛尖,34,4,1,0,0
红烧冬瓜,34,4,1,0,0
鱼香肉片,34,4,1,0,0
麒麟鲈鱼,34,4,1,0,0
奶油白酱,35,4,1,0,0
椒麻鸡片,35,4,1,0,0
炒肝尖儿,35,4,1,0,0
白油豆腐,35,4,1,0,0
石亭绿茶,35,4,1,0,0
砂锅雅鱼,35,4,1,0,0
蛋圆饼干,35,4,1,0,0
蛋黄饼干,35,4,1,0,0
鱼香茄饼,35,4,1,0,0
黄油曲奇,35,4,1,0,0
一品寿桃,36,4,1,0,0
扶风鹿糕,36,4,1,0,0
炒蹄筋儿,36,4,1,0,0
牛佛烘肘,36,4,1,0,0
红扒鱼翅,36,4,1,0,0
鱼香大虾,36,4,1,0,0
鸡油菜心,36,4,1,0,0
龙爪肉丝,36,4,1,0,0
培根面包,37,4,1,0,0
家常熬鱼,37,4,1,0,0
桂花茶饼,37,4,1,0,0
油焖白菜,37,4,1,0,0
清蒸火腿,37,4,1,0,0
珍珠海参,37,4,1,0,0
花生猪蹄,37,4,1,0,0
茄汁明虾,37,4,1,0,0
香酥羊排,37,4,1,0,0
三鲜丸子,38,4,1,0,0
摩卡蛋糕,38,4,1,0,0
烩鸭四宝,38,4,1,0,0
熘鱼片儿,38,4,1,0,0
珍珠豆腐,38,4,1,0,0
琵琶大虾,38,4,1,0,0
芙蓉燕菜,38,4,1,0,0
荷叶排骨,38,4,1,0,0
菊花豆腐,38,4,1,0,0
菊花青鱼,38,4,1,0,0
锅烧白菜,38,4,1,0,0
骨痛药酒,38,4,1,0,0
包浆豆腐,39,4,1,0,0
椰香面包,39,4,1,0,0
炒黄瓜酱,39,4,1,0,0
皇禽酱鸭,39,4,1,0,0
银芽鸡丝,39,4,1,0,0
阳高杏脯,39,4,1,0,0
麒麟桂鱼,39,4,1,0,0
川贝酿梨,40,4,1,0,0
甜菊糖苷,40,4,1,0,0
芙蓉海参,40,4,1,0,0
菊花锅子,40,4,1,0,0
十里香茶,41,4,1,0,0
南肉春笋,41,4,1,0,0
川味牛肉,41,4,1,0,0
枣泥蛋糕,41,4,1,0,0
水泡饼干,41,4,1,0,0
清蒸翅子,41,4,1,0,0
芒果色拉,41,4,1,0,0
葡萄皮红,41,4,1,0,0
酱汁排骨,41,4,1,0,0
香芋蛋糕,41,4,1,0,0
鸡汁锅贴,41,4,1,0,0
三原蓼花,42,4,1,0,0
姜汁菠菜,42,4,1,0,0
枣泥拉糕,42,4,1,0,0
栗子白菜,42,4,1,0,0
炒西施舌,42,4,1,0,0
羊眼包子,42,4,1,0,0
快乐搭档,43,4,1,0,0
木瓜牛乳,43,4,1,0,0
澳洲带子,43,4,1,0,0
试量狗肉,43,4,1,0,0
酱爆牛肉,43,4,1,0,0
黄泥煨鸡,43,4,1,0,0
中江挂面,44,4,1,0,0
咖喱菜花,44,4,1,0,0
干煸鳝鱼,44,4,1,0,0
梅子排骨,44,4,1,0,0
滑蛋虾仁,44,4,1,0,0
爆肚仁儿,44,4,1,0,0
苏式蜜饯,44,4,1,0,0
荷包豆腐,44,4,1,0,0
菜干扣肉,44,4,1,0,0
酸辣蹄筋,44,4,1,0,0
锦绣鱼丝,44,4,1,0,0
一品烧饼,45,4,1,0,0
抹茶咖啡,45,4,1,0,0
树根蛋糕,45,4,1,0,0
凉拌藕片,46,4,1,0,0
年轮蛋糕,46,4,1,0,0
恩尼艾斯,46,4,1,0,0
抓炒鱼片,46,4,1,0,0
玉米发糕,46,4,1,0,0
锅烧肘子,46,4,1,0,0
鹤庆乾酒,46,4,1,0,0
三鲜鱼翅,47,4,1,0,0
生炒海蚌,47,4,1,0,0
白沙液酒,47,4,1,0,0
粉蒸羊肉,47,4,1,0,0
锅烧海参,47,4,1,0,0
乾州锅盔,48,4,1,0,0
提浆月饼,48,4,1,0,0
格林斯通,48,4,1,0,0
椒盐桃片,48,4,1,0,0
洋芋粑粑,48,4,1,0,0
脆皮鲜奶,48,4,1,0,0
麻粉肘子,48,4,1,0,0
丁香排骨,49,4,1,0,0
双色豆糕,49,4,1,0,0
发酵饼干,49,4,1,0,0
脆皮大肠,49,4,1,0,0
黄金豆腐,49,4,1,0,0
杨村糕干,50,4,1,0,0
牛肉夹馍,50,4,1,0,0
干烧冬笋,51,4,1,0,0
开心蔬麦,51,4,1,0,0
排骨炖藕,51,4,1,0,0
桂花翅子,51,4,1,0,0
红椒酿肉,51,4,1,0,0
翠玉豆糕,51,4,1,0,0
首乌肝片,51,4,1,0,0
龙井竹荪,51,4,1,0,0
腌鲜桂鱼,52,4,1,0,0
乙酸苄酯,53,4,1,0,0
柚子蜂蜜,53,4,1,0,0
河水豆花,53,4,1,0,0
葵花虾饼,53,4,1,0,0
豆瓣鲫鱼,53,4,1,0,0
黄焖甲鱼,53,4,1,0,0
五香羊肉,54,4,1,0,0
抓炒对虾,54,4,1,0,0
炒里脊丝,54,4,1,0,0
硫酸铝铵,54,4,1,0,0
苹果啤酒,54,4,1,0,0
酸菜火锅,54,4,1,0,0
金鱼鸭掌,54,4,1,0,0
桂花莲藕,55,4,1,0,0
水晶软糖,55,4,1,0,0
潼川豆豉,55,4,1,0,0
生肖蛋糕,55,4,1,0,0
百合罐头,55,4,1,0,0
盐步秋茄,55,4,1,0,0
蟹肉罐头,55,4,1,0,0
阜宁大糕,55,4,1,0,0
黄石港饼,55,4,1,0,0
鸡丝燕窝,56,4,1,0,0
桂花浸膏,57,4,1,0,0
淮安茶馓,57,4,1,0,0
甘草酸铵,57,4,1,0,0
